Day,funnel,Total users,New users,Returning users,New user %
2025-11-03,활동,551,0,551,0.0
2025-11-04,구매완료,2,0,2,0.0
2025-11-04,기타,575,0,575,0.0
2025-11-04,유입,1551,450,1101,29.013539651837522
2025-11-04,활동,627,0,627,0.0
2025-11-05,구매완료,1,0,1,0.0
2025-11-05,기타,431,0,431,0.0
2025-11-05,유입,1205,341,864,28.29875518672199
2025-11-05,활동,472,0,472,0.0
2025-11-06,구매완료,2,0,2,0.0
2025-11-06,기타,458,0,458,0.0
2025-11-06,유입,1222,350,872,28.641571194762683
2025-11-06,활동,461,0,461,0.0
2025-11-07,기타,368,0,368,0.0
2025-11-07,유입,981,271,710,27.62487257900102
2025-11-07,활동,393,0,393,0.0
2025-11-08,구매완료,1,0,1,0.0
2025-11-08,기타,345,0,345,0.0
2025-11-08,유입,941,270,671,28.69287991498406
2025-11-08,활동,379,0,379,0.0
2025-11-09,구매완료,2,0,2,0.0
2025-11-09,기타,349,0,349,0.0
2025-11-09,유입,966,278,688,28.778467908902694
2025-11-09,활동,373,0,373,0.0
2025-11-10,구매완료,5,0,5,0.0
2025-11-10,기타,479,0,479,0.0
2025-11-10,유입,1240,364,876,29.354838709677416
2025-11-10,활동,470,0,470,0.0
2025-11-11,구매완료,3,0,3,0.0
2025-11-11,기타,405,0,405,0.0
2025-11-11,유입,1050,303,747,28.857142857142858
2025-11-11,활동,432,0,432,0.0
2025-11-12,구매완료,1,0,1,0.0
2025-11-12,기타,375,0,375,0.0
2025-11-12,유입,1037,311,726,29.990356798457086
2025-11-12,활동,397,0,397,0.0
2025-11-13,구매완료,1,0,1,0.0
2025-11-13,기타,395,0,395,0.0
2025-11-13,유입,1073,308,765,28.704566635601118
2025-11-13,활동,443,0,443,0.0
2025-11-14,구매완료,2,0,2,0.0
2025-11-14,기타,617,0,617,0.0
2025-11-14,유입,1650,476,1174,28.84848484848485
2025-11-14,활동,667,0,667,0.0
2025-11-15,구매완료,3,0,3,0.0
2025-11-15,기타,375,0,375,0.0
